Date,Weighted_Price
2013-09-18,127.37764933503435
2013-09-19,125.9285809146693
2013-09-20,124.00890061551021
2013-09-21,123.28387668136364
2013-09-22,123.02225660492265
2013-09-23,123.17663552700657
2013-09-24,122.8913689181376
2013-09-25,124.29187881281185
2013-09-26,124.24295258127934
2013-09-27,125.68357310764586
2013-09-28,126.49022081650769
2013-09-29,127.47402803794199
2013-09-30,126.14960563982198
2013-10-01,127.11460561988214
2013-10-02,119.57569924564856
2013-10-03,111.83379391692169
2013-10-04,120.92148496259172
2013-10-05,121.55725771205843
2013-10-06,121.79982350859035
2013-10-07,123.21964037775216
2013-10-08,123.77355678375
2013-10-09,125.1641763650047
2013-10-10,125.94521378554641
2013-10-11,126.73282546927807
2013-10-12,127.42655677063252
2013-10-13,129.13562483469067
2013-10-14,135.22247237266393
2013-10-15,137.19596380246304
2013-10-16,143.59622152025548
2013-10-17,141.7336254391508
2013-10-18,147.62774114007033
2013-10-19,161.58647001330573
2013-10-20,165.41852907367732
2013-10-21,173.89826560800643
2013-10-22,189.01618447114478
2013-10-23,195.36907476794292
2013-10-24,193.0829490579342
2013-10-25,181.37353612196603
2013-10-26,181.86760883744344
2013-10-27,187.42734303160435
2013-10-28,194.96951640561562
2013-10-29,199.18272031730325
2013-10-30,202.21941955267422
2013-10-31,200.8098023671532
2013-11-01,202.7881745933429
2013-11-02,204.2249804647383
2013-11-03,206.08282628906093
2013-11-04,217.5683476390967
2013-11-05,236.12561655350183
2013-11-06,255.23160911105535
2013-11-07,283.16836312556853
2013-11-08,314.5135579686248
2013-11-09,342.76713767388424
2013-11-10,304.5200692105982
2013-11-11,332.04445925629943
2013-11-12,349.6837202350588
2013-11-13,378.2548873126949
2013-11-14,410.2829808968454
2013-11-15,419.96204282503965
2013-11-16,431.6221102302219
2013-11-17,458.8532405755319
2013-11-18,536.8088248075612
2013-11-19,620.5784812831278
2013-11-20,539.7017145956297
2013-11-21,656.9830293073959
2013-11-22,740.3852785876115
2013-11-23,834.3670151675218
2013-11-24,804.032022675116
2013-11-25,811.5104820044604
2013-11-26,843.7796220381493
2013-11-27,926.1754515304418
2013-11-28,990.5869740696559
2013-11-29,1059.8018359283558
2013-11-30,1137.7630898451725
2013-12-01,1017.4859216827247
2013-12-02,1012.6251475135789
2013-12-03,1048.2971794859834
2013-12-04,1094.9679607064934
2013-12-05,1040.8929258980493
2013-12-06,945.8596513537474
2013-12-07,724.9194488122794
2013-12-08,730.0826574569386
2013-12-09,864.3252139297704
2013-12-10,938.3442077078763
2013-12-11,908.0493751463184
2013-12-12,865.465006246938
2013-12-13,882.7602122342578
2013-12-14,862.38309831565
2013-12-15,840.6396370960191
2013-12-16,785.270748973105
2013-12-17,686.615600992432
2013-12-18,562.0831246567062
2013-12-19,615.0327572187797
2013-12-20,671.5474956659052
2013-12-21,606.7941129591054
2013-12-22,625.9042363995949
2013-12-23,635.4696705818362
2013-12-24,650.4801753334352
2013-12-25,658.7347454082004
2013-12-26,716.326943392726
2013-12-27,727.9594063145321
2013-12-28,721.1338040641476
2013-12-29,715.5281205480653
2013-12-30,733.6560127499919
2013-12-31,728.7289121487188
2014-01-01,745.3022835484211
2014-01-02,757.8293393504101
2014-01-03,796.7247604782987
2014-01-04,811.281011021777
2014-01-05,867.8307954830226
2014-01-06,938.2668169391128
2014-01-07,885.6486565753947
2014-01-08,814.7261908723228
2014-01-09,821.4768356146991
2014-01-10,824.5829231929214
2014-01-11,878.6550502129475
2014-01-12,863.6508174436923
2014-01-13,818.0244942617769
2014-01-14,822.9749567763074
2014-01-15,835.0645725273587
2014-01-16,833.0675566350001
2014-01-17,800.396524493376
2014-01-18,807.8320352185739
2014-01-19,816.2591745427691
2014-01-20,831.9286600018196
2014-01-21,822.1430427531451
2014-01-22,816.7382973609823
2014-01-23,813.9521707856878
2014-01-24,788.4669287206677
2014-01-25,797.0331379423299
2014-01-26,814.0300913371335
2014-01-27,798.1390332410424
2014-01-28,778.5882142883307
2014-01-29,794.3618304738501
2014-01-30,791.7568311739351
2014-01-31,801.9045488760906
2014-02-01,812.479450764185
2014-02-02,818.058049004721
2014-02-03,809.2335974138691
2014-02-04,804.8055314647597
2014-02-05,801.6408530542672
2014-02-06,779.8045488182825
2014-02-07,720.709905183239
2014-02-08,705.1702313132383
2014-02-09,694.373861311498
2014-02-10,671.6454660406677
2014-02-11,688.2763319762979
2014-02-12,661.5993597358729
2014-02-13,641.8988793232472
2014-02-14,630.6163370695813
2014-02-15,652.1472162992868
2014-02-16,635.6935735503287
2014-02-17,633.9737673013834
2014-02-18,631.0468708257218
2014-02-19,626.8182020469071
2014-02-20,598.9394154900442
2014-02-21,567.7636123956453
2014-02-22,583.6586685823393
2014-02-23,621.4556581673381
2014-02-24,567.7354189870247
2014-02-25,499.0745097663491
2014-02-26,575.0887891892389
2014-02-27,583.9970524093449
2014-02-28,570.5369926595963
2014-03-01,562.3369960598761
2014-03-02,563.3675210533188
2014-03-03,609.7702866696537
2014-03-04,679.7002571188511
2014-03-05,665.570245220197
2014-03-06,665.2029977200775
2014-03-07,642.7092981360304
2014-03-08,621.4135246132105
2014-03-09,631.5741733479831
2014-03-10,629.3516798826786
2014-03-11,627.0207425572404
2014-03-12,639.2534184464266
2014-03-13,642.7586946242515
2014-03-14,635.3297582905418
2014-03-15,633.4088642776901
2014-03-16,633.914959336301
2014-03-17,626.0046215061438
2014-03-18,613.7672022814938
2014-03-19,613.6557655518351
2014-03-20,595.532906587421
2014-03-21,581.7200994777949
2014-03-22,561.9525618978482
2014-03-23,564.0943469030868
2014-03-24,565.0836267289702
2014-03-25,578.0753310557974
2014-03-26,580.5978474931244
2014-03-27,541.5084247537192
2014-03-28,502.67752893365514
2014-03-29,499.351750165553
2014-03-30,467.3055213614916
2014-03-31,456.0855745793816
2014-04-01,476.05663340290204
2014-04-02,464.40922857973965
2014-04-03,435.1417396655089
2014-04-04,444.8621398173814
2014-04-05,452.011873194682
2014-04-06,458.3197855052197
2014-04-07,454.7159459126228
2014-04-08,453.1708629218044
2014-04-09,448.06320125588536
2014-04-10,406.33500361220706
2014-04-11,403.7644169019971
2014-04-12,426.5629477850507
2014-04-13,415.2001851613717
2014-04-14,450.3249236342447
2014-04-15,489.122877527982
2014-04-16,518.596783875236
2014-04-17,505.7783607302558
